id,tweet,link,date,time
1143733858149515264,tô bem jogando um ff e a garena vai e começa uma manutenção no jogo q inferno,https://twitter.com/xlovatx/status/1143733858149515264,2019-06-26,01:12:55
1142980759181021184,amanhã será o melhor dia da minha vida,https://twitter.com/xlovatx/status/1142980759181021184,2019-06-23,23:20:23
1142823149173690369,esperei só esse momento pra fazer esse negócio,https://twitter.com/xlovatx/status/1142823149173690369,2019-06-23,12:54:06
1142477655469678593,mais um dia acordando muito felizzzz,https://twitter.com/xlovatx/status/1142477655469678593,2019-06-22,14:01:13
1141561505835638785,meus amigos quando estão de rolê cmg  https://twitter.com/vocesefoii/status/1141480781409206272 …,https://twitter.com/xlovatx/status/1141561505835638785,2019-06-20,01:20:46
1141182489630826496,só queria alguém pra cvs cmg mas meus amigos já foram dormir af,https://twitter.com/xlovatx/status/1141182489630826496,2019-06-19,00:14:42
1140160740663410688,"pqp acordei no meio da madrugada morrendo de gripe, tô quase indo dormir lá na sala pq meu quarto tá muito abafado",https://twitter.com/xlovatx/status/1140160740663410688,2019-06-16,04:34:38
1140096758623690752,"nu banquei o rolê hoje misericórdia, oq eu não faço pros meus amigos",https://twitter.com/xlovatx/status/1140096758623690752,2019-06-16,00:20:23
1139390446986076161,eu tô com muito sono mas não tô conseguindo dormir aaaaaa q inferno,https://twitter.com/xlovatx/status/1139390446986076161,2019-06-14,01:33:46
1138985138623320064,vi meus amigos ontem e já estou com saudades af,https://twitter.com/xlovatx/status/1138985138623320064,2019-06-12,22:43:13
1138636504228651008,"que dia sensacional, eu amo muito meus amigos",https://twitter.com/xlovatx/status/1138636504228651008,2019-06-11,23:37:52
1138619702811537408,amo pessoas q respondem rápido rs,https://twitter.com/xlovatx/status/1138619702811537408,2019-06-11,22:31:06
1137765033973301248,queria muito ter tempo só pra poder fazer escoteiro com os meninos af,https://twitter.com/xlovatx/status/1137765033973301248,2019-06-09,13:54:57
1137531868281225217,nooooo q ódio eu tinha quando ela entrava na sala dando bom dia super animada kkkkkkkkkkk,https://twitter.com/xlovatx/status/1137531868281225217,2019-06-08,22:28:26
1137182553750802433,sextou com os amigos que eu gosto apesar de tá faltando muitos aqui,https://twitter.com/xlovatx/status/1137182553750802433,2019-06-07,23:20:23
1137004695929720833,meu sonho fazer isso com o grupo de amigos que eu gosto rs  https://twitter.com/SPACECANNABIS/status/1136627548006375426 …,https://twitter.com/xlovatx/status/1137004695929720833,2019-06-07,11:33:38
1136830516080988160,Meu amigo quer um replay com vc e não para de me falar disso Como que resolve esse b.o? — sem tempo irmão  https://curiouscat.me/xlovatx/post/887155642?t=1559876490 …,https://twitter.com/xlovatx/status/1136830516080988160,2019-06-07,00:01:30
1135758567989010432,eu amo essa música dmssss e a tradução dela é tudo oq eu tô vivendo no momento rs  https://twitter.com/lovatosaturns/status/1135416758519631872 …,https://twitter.com/xlovatx/status/1135758567989010432,2019-06-04,01:01:58
1134953865844002816,os meninos da minha loja vai tudo sair hoje depois do serviço aaaaa queria mas pelo menos vou tá com os amigos q eu gosto vendo avião,https://twitter.com/xlovatx/status/1134953865844002816,2019-06-01,19:44:22
1131650087661244416,faltou só uma fotinha de sábado vc dormindo na minha cama rs,https://twitter.com/xlovatx/status/1131650087661244416,2019-05-23,16:56:20
