,Unnamed: 0,username,tweet,link
10,1453,birivessa,"na época fui diagnosticado com depressão e ansiedade, tinha apenas 13 anos e precisava ter a sanidade mental que uma pessoa de 30 anos não possui",https://twitter.com/birivessa/status/1140408491242401792
11,1465,john_braganca,Nego nunca tomou um Reconter na vida e diz que tem depressão.  Até eu que fui diagnosticado com depressão por um psiquiatra às vezes duvido que tenho.  (Aí do nada vem uma baita crise de ansiedade que me dá vontade de arrancar pedaços da minha pele e eu começo a acreditar),https://twitter.com/john_braganca/status/1138078134648135685
12,1466,misimpatia_,"""tu me ajudou com tua energia, quando eu fui diagnosticado com depressão""",https://twitter.com/misimpatia_/status/1137914668012490754
13,1468,matteoqpace,"e eu fui diagnosticado com depressão moderada faz uns dias. e eu sei que eu nunca vou tentar suicídio, nem me matar. eu quero viver, eu gosto de viver, mas simplesmente queria viver uma vida mais interessante e tentar encontrar pessoas mais interessantes.",https://twitter.com/matteoqpace/status/1137589978144358400
14,1479,jhonymarques16,"É rapaz, fui diagnosticado com depressão. Belê",https://twitter.com/jhonymarques16/status/1136360584260280320
15,1490,wouldieformiles,"Desabafo: em maio eu comecei a me tratar pq fui diagnosticado com depressao. daí essa semana os remedios comecaram a fazer o efeito esperado, me deixando mais disposto e tal. Dai desde ontem ouvindo o She Is Coming fiquei fazendo umas reflexao +",https://twitter.com/wouldieformiles/status/1134667430888902656
16,1491,romulorafa,"pq há exatos 6 meses fui diagnosticado com depressão inicial e, há 2 meses, transtornos de ansiedade. Então, nestas coisas boas e coisas pensativas, sei que preciso aprender a lidar com altos e principalmente, com os baixos.",https://twitter.com/romulorafa/status/1134615994855559168
17,1495,swiftperfects,eu já fui diagnosticado com depressão e ansiedade então nem me choquei com esse teste  https://twitter.com/dazedmonkeys/status/1134220730680455170 …,https://twitter.com/swiftperfects/status/1134478130004017153
18,1499,heilramonf,Já fui diagnosticado com depressão e recentemente com TOC,https://twitter.com/heilRamonF/status/1134133066966929409
19,1506,ocottim,"Apesar de haver pessoal que o faça para se integrar ou ""ser fixe"", acredita que a ganza é algo que ajuda muita gente. Comecei a fumar ganza quando aos 12/13 anos não me quiseram dar anti-depressivos e passado 2 anos fui diagnosticado com depressão crônica",https://twitter.com/ocottim/status/1132539427367137282
