,Unnamed: 0,username,tweet,link
290,2763,eurobosapiens,Com 30 anos de idade eu descubro que fui diagnosticado com depressão na infância,https://twitter.com/EuRoboSapiens/status/810282324923445248
291,2777,idolsmypride2,"eu esse ano fui diagnosticado com depressão, tive muito problema por conta de remédios, mas por outro lado..",https://twitter.com/idolsmypride2/status/806248123655946240
292,2797,bernoch_,"Nunca fui diagnosticado com depressão, mas as vezes sinto que a psicologa só não falou ainda. E minha irmã enche a porra do saco.",https://twitter.com/Bernoch_/status/788505049831993344
293,2805,eduardoloucasso,"fui diagnosticado com depressao, KIBELEZA",https://twitter.com/EduardoLoucasso/status/788010012010541056
294,2812,marcosmourads,"Nem lembro quando fui diagnósticado com depressão, mas tem muitos anos, se não me engano foi aos meus 12 anos de idade...",https://twitter.com/marcosmourads/status/784630866572181504
295,2820,medeixemempaz,"eu sofri abusos psicológicos e físicos, fui diagnosticado com depressão aos 14, etc. e por muitos anos harry foi minha única companhia.",https://twitter.com/medeixemempaz/status/781975191115235328
296,2834,omeuecomaga,NOSSA digo eu felipe. isso é um perigo. eu fui diagnosticado com depressão. se tu tens algum sintoma procura um médico.,https://twitter.com/omeuecomaga/status/779554758680010752
297,2835,tittobrites,"resumindo o que aconteceu nesse tempo, fui diagnosticado com depressão profunda, tô tendo crises de pânico e ansiedade todos os dias.",https://twitter.com/tittobrites/status/779489274622308353
298,2836,eridalavigne,acho que mamae contou pra minha irmã que fui diagnosticado com depressão. Ontem ela me andou ir no serviço dela e fui hoje,https://twitter.com/EriDaLavigne/status/779470614885171200
299,2902,thiagodelgrande,Acabei de voltar do neurologista e fui diagnosticado com depressão. 😱,https://twitter.com/thiagodelgrande/status/763067100327997440
