,Unnamed: 0,username,tweet,link
180,2089,bobbyilustra,"Por que? Duvida seria, eu fui diagnosticado com depressão.",https://twitter.com/Bobbyilustra/status/1009912691585175552
181,2094,leobigapo,"""não mas pq com seis anos eu fui diagnosticado com depressão""   Tá cara, tá",https://twitter.com/leobigapo/status/1008471851335634947
182,2096,_derico_,"Amigo, me ajuda...fui diagnosticado com depressão por aquele doutor que você me recomendou",https://twitter.com/_derico_/status/1007271987096498176
183,2117,gbrl_mendes,Quando fui diagnosticado com depressão deveriam ter falado que tava só começando o maior ROLEZAO puta merda,https://twitter.com/gbrl_mendes/status/1002022587130679297
184,2121,krownt2,"desde que fui diagnosticado com depressão, ansiedade e todos os meus outros problemas eu sinto que não consigo mais confiar em ninguém, e quando eu ""confio"" a pessoa me faz sofrer sendo o mais embuste possivel",https://twitter.com/Krownt2/status/999719517524840448
185,2124,tnt115_,"Como faço para ter depressão?  Quero chamar a atenção de familiares e amigos, porque acho muito bonito pessoas que tem problema... — Cara, na boa, seu comentário foi ridiculo. Eu fui diagnosticado com depressão por um psiquiatra c...  https://curiouscat.me/itsmealaska_/post/490972476?1526968765 …",https://twitter.com/tnt115_/status/998805510467018753
186,2135,r_jorda,"2018, o ano que fui diagnosticado com depressão e talvez seja o ano que eu perca as coisas mais importantes da minha vida.",https://twitter.com/r_jorda/status/995835887274676224
187,2138,gabrieltanasia,Alguns minutos no trampo e já fui diagnosticado com depressão por um cara que nunca vi,https://twitter.com/gabrieltanasia/status/994175381346406400
188,2140,fms_gabriel,"E eu não tô 100% por ""culpa"" minha. Eu mesmo não tenho suportado a minha passagem por esse mundo.  Eu venho passando por um inferno pessoal tem pouco mais de dois meses. Há umas três semanas, eu fui diagnosticado com depressão.  Por sorte, eu tenho um bom sistema de suporte",https://twitter.com/FMS_Gabriel/status/993730886192549890
189,2142,andridaudt,lindo ter depressao gente Bate palma Olha a vida tá uma merda Nao fui diagnosticado com depressao mas eu sinto vontade de ficar deitado o dia todo Moh depressao bixo Eu to feliz mas vou dizer que to triste pq  Ai depressao é foda viuu  https://twitter.com/TheRodrigoZin/status/992915239170650112 …,https://twitter.com/andridaudt/status/993296410777923584
