,Unnamed: 0,username,tweet,link
170,2028,houterspace,"preciso contar uma coisa importante para vocês  fui diagnosticado com depressão ha um tempo, mas não contei a ninguém a não ser a os mais próximos  outro dia estava saindo com uns colegas até que um disse que tinha ansiedade e explicou o tratamento que estava fazendo, etc+",https://twitter.com/houterspace/status/1028300729084207104
171,2050,paraymo1,"@eGuinoranteReal Olá! Eu já fui diagnosticado com depressão, mas era sintoma da Tireoidite de Hashimoto, então, queria sugerir que observasse sua tireóide. Sempre alerto sobre este tipo de erro de diagnose, pois parece que é comum. Sou inscrito e te desejo saúde!",https://twitter.com/Paraymo1/status/1021134588326948865
172,2053,jupomen,"Fazem três anos que fui diagnosticado com Depressão e ansiedade social. O que eu tenho a dizer é: procurem ajuda, façam tratamento, se livrem de pessoas tóxicas, recebam e deem amor, busque o que te edifique. Faz toda a diferença no processo.",https://twitter.com/jupomen/status/1020846260352421888
173,2058,pedrothesouzade,"Resumindo bem, Quando fui diagnosticado com depressão e Gad, o remédio mexeu muito comigo (mexe com geral no começo) o médico disse que havia a chance de eu ser bipolar, eu discordei pq pesquisando vi que um dos ""sintomas"" é esse desejo sexual ""descontrolado"". Acontece contigo?",https://twitter.com/PedrothesouzaDe/status/1018509330126163970
174,2059,moreiradmachado,"dia 4 fez um ano que eu fui diagnosticado com depressão, essa é a terceira data mais triste da minha vida. 😞",https://twitter.com/moreiradmachado/status/1016796860114194439
175,2061,fratdagger,"cara, maravilhoso isso aqui, parabéns pelo thread, eu fui diagnosticado com depressão há pouco mais de 1 ano e tb uso muito essas coisas, são maravilhosas mesmo",https://twitter.com/fratdagger/status/1015934183707955200
176,2067,lmercenaa,"Fiz um teste de depressão, e fui diagnosticado com depressão. Eu acho que ta errado mas agora to com medo",https://twitter.com/LMercenaa/status/1014536716718354433
177,2073,yangletter,↳ ano passado eu fui diagnosticado com depressão e graças ao kpop eu comecei a sair dela,https://twitter.com/yangletter/status/1013454414068273152
178,2081,romulogoldin,Desde que eu fui diagnosticado com depressão parece que ela cobra mais isso de mim,https://twitter.com/RomuloGoldin/status/1011621296571142146
179,2082,jhonatasjas,A uns meses atrás fui diagnosticado com depressão...Estou recusando tratamento até então...Acho que isso não esta me fazendo bem não😞,https://twitter.com/jhonatasjas/status/1011442613109567488
