,Unnamed: 0,username,tweet,link
60,1651,notyourbasicpsy,"-o que vc estuda? - psicologia - nossa, que bom  eentão vc vai poder me ajudar pq eu terminei tem x meses/ pq eu tenho um sonho que fica se repetindo/ pq eu fui diagnosticado com depressão com ansiedade com bipolaridade/ pq eu tenho uma dificuldade de me relacionar  https://twitter.com/arrombida/status/1112760531843276805 …",https://twitter.com/notyourbasicpsy/status/1112824831987367941
61,1652,_dazedsinner,"exatamente, eu fui diagnosticado com depressão e o que me faz falar abertamente sobre isso é ter mudado o meu pensamento de que quem tinha isso era “fraco”, tem tanta gente em situação pior e eu procurando problema, passei a ver que eu precisava de ajuda e tem mal que vem p bem",https://twitter.com/_dazedsinner/status/1112812205098090497
62,1658,vortisrd,"É mais comum do que tu pensa, bicho.   Fui em um psicoterapeuta nessa segunda-feira e fui diagnosticado com depressão e ansiedade.  Agora é correr atrás, porque o poço é fundo e a subida é difícil.",https://twitter.com/vortisrd/status/1110892185510178817
63,1659,ivanrafaelh,"Pouca gente sabe, mas a pouco menos de um ano fui diagnosticado com depressao grave e a única coisa que eu queria era sumir/morrer...Me sentia a pior pessoa do mundo é um peso para todos que estavam a minha volta, tinha dias que não queria sair da cama ...",https://twitter.com/ivanrafaelh/status/1110190093149618177
64,1662,ceruttilcerutti,Eu to triste pq fui diagnosticado com depressão intensa mas também estou feliz porque segunda eu vou passar o dia conversando com os médicos,https://twitter.com/CERUTTILCERUTTI/status/1109103159815954432
65,1664,vieneinpace,"fui diagnosticado com depressão e não sei se fico só na terapia ou se tomo remédio também (fui receitado). medo d… — remédio pode ser bom pra vc funcionar, mas continue na terapia  https://curiouscat.me/vieneinpace/post/806193262?t=1553191208 …",https://twitter.com/vieneinpace/status/1108790411177443329
66,1666,telinhobosco,"Esse é um trabalho muito importante pra mim. Nunca fui diagnosticado com depressão, mas quando fui para o psicólogo percebi o quanto deve ser difícil lutar contra essa doença. Força para os migos que sofrem disso e saibam que podem contar comigo",https://twitter.com/TelinhoBosco/status/1108427838452056064
67,1667,gabandsil,o pior é que eu nunca fui diagnosticado com depressão e vem um ser e pergunta isso Coragi porque noção...  https://twitter.com/GabAndSil/status/1108389486839373824 …,https://twitter.com/GabAndSil/status/1108389921889402880
68,1680,jovemtrist3,"Sei q ninguém liga, mas eu gostei   1- fui diagnosticado com depressão aos 8 anos 2 - tenho uma facilidade gigante em desapegar das pessoas  3 - não sei demostra amor ou amizade  4 - tenho problemas com jogos eletrônicos 5 - nenhum tipo de droga q usei até hj me vício  https://twitter.com/Renk_lol/status/1105927316050530304 …",https://twitter.com/jovemtrist3/status/1105993286051917827
69,1687,orelhv,"As pessoas esquecem que fui diagnosticado com depressão grave, sindrome do panico e ansiedade em estado avançado.. e foi por um psiquiatra ta? Nao foi do google nao, inclusive gasto 125 reais por mes com remédios pra isso.",https://twitter.com/orelhv/status/1105525064919891968
