,Unnamed: 0,username,tweet,link
400,473,jbeatrizj,"não é só dos outros não, porque eu tenho diagnóstico de depressão há muito tempo e sei o quanto isso caga na minha vida e não, eu não sou - e não devo me sentir - culpada por isso, nem achar que é só preguiça, frescura, ou muleta :)",https://twitter.com/jbeatrizj/status/1009094238242516995
401,495,illumin4ty,"eu tenho diagnóstico de depressão e ansiedade tem mais de dois anos. meus pais presenciaram uma crise pela primeira vez há duas semanas. foi horrível e eu me senti envergonhada, mas hoje eles tratam a situação de outra maneira e isso tá sendo tão bom que nossa!",https://twitter.com/illumin4ty/status/998770305886752769
402,566,saravalle,"""Ah mas vc não se sentiu tocada pelo vídeo da Jout Jout pq se sente completa""... Migo, eu tenho diagnóstico de depressão e se tem uma coisa que não me sinto é completa. Simplesmente não consigo me emocionar com o óbvio.",https://twitter.com/saravalle/status/967072490781634561
403,596,garotadocorte,diferente de muitos daqui eu tenho diagnóstico de DEPRESSÃO,https://twitter.com/garotadocorte/status/953000278449639425
404,600,lolaaacr,"Caramba! Suicídio nunca pensei, mas já desejei a morte... Pois é, tenho diagnóstico de depressão refratária, desde 2010, mas os sintomas sinto desde 2006. Pra sair de casa, por exemplo, é um parto!",https://twitter.com/lolaaacr/status/949384279129239552
405,609,nocturne_0309,"Sim sim, mas como eu disse, nem todo mundo é assim.  Eu tenho diagnóstico de depressão e nunca pensei em suicídio. Isso varia de pessoa pra pessoa, mas é mais comum sim que tenha o pensamento.  Mas não podemos generalizar também. Cada caso é um caso.",https://twitter.com/nocturne_0309/status/943465600554283009
406,620,zrichardcruz,Nmrl vsf tenho mt espinha na cara ae o único remédio q iria me ajudar a melhorar isso n posso tomar pq tenho diagnóstico de depressão,https://twitter.com/zRichardCruz/status/939186480358084614
407,621,blackbbearr,"eu tenho diagnóstico de depressão, já tive crises de pânico, sei quão hard é tudo isso",https://twitter.com/blackbbearr/status/939125047897280512
408,658,quixoticc_,Eu tenho diagnóstico de depressão há dois anos. Com o tempo aprendi a conviver com ela e a cada crise aprendo mais um pouco a lidar.,https://twitter.com/quixoticc_/status/920099980521635842
409,667,viczsz,e eu tenho diagnostico de depressao e tomo remedios,https://twitter.com/viczsz/status/914329587957604353
