,Unnamed: 0,username,tweet,link
390,252,laurogripa,"1 like = 1 história de como é viver com uma coleção de doenças crônicas - tenho diagnóstico de depressão maior, transtorno de ansiedade, síndrome do pânico, estresse pós traumático e disfunção na articulação temporomandibular. todas mais ou menos sob controle mas nenhuma superada",https://twitter.com/laurogripa/status/1084567712062472193
391,256,_corninha,"oi, eu sou uma pessoa ansiosa e tudo o que faço tem um reflexo nisso. tenho diagnóstico de depressão com ansiedade, distúrbios alimentares (anorexia/bulimia). quase ninguém sabe, mas isso me devora por dentro, dói, corrói, destrói.",https://twitter.com/_corninha/status/1083919783375048704
392,263,lilithhhh02,"Mano, meus pais acham que EU ARRUMO PROBLEMA PRA MIM. Eu tenho diagnóstico de depressão, a neuro passou exames e eles nem se quer me levaram pra fazer. Nunca foram falar com a minha psicóloga.",https://twitter.com/lilithhhh02/status/1080563219520020480
393,306,heeyyjaay,"Desde os meus oito anos eu tenho diagnóstico de depressão, lá pelos 15 foi reforçado. Um ano atrás, aos 23 anos recebi o primeiro de três diagnósticos de bipolaridade. Eu sempre achei que quando eu soubesse qual o meu problema seria mais fácil de lidar com ele. Não é.",https://twitter.com/heeyyjaay/status/1067126304527564803
394,347,itzypreach,"eu: *tenho diagnóstico de depressão, fobia social e ansiedade além de precisar urgentemente de ajuda psiquiátrica*  meus pais: você tá fazendo isso só pra ficar no celular",https://twitter.com/itzypreach/status/1052280549073739776
395,365,reblgrrrl,"Eu tenho diagnóstico de depressão desde os 10 anos de idade.  A ansiedade me pegou no ensino médio e nunca mais me deixou. Hoje ela é o que ocupa mais espaço.  Em 2016 meu quadro de depressão, crise de pânico e ansiedade era tão grande que consideraram borderline.",https://twitter.com/reblgrrrl/status/1045521821150441473
396,380,vitorianott,cê tem esse estudo ainda? fiquei interessada (tenho diagnóstico de depressão e tempos de crise = maratonar série),https://twitter.com/vitorianott/status/1039731792780189696
397,397,girlmeetsevilxx,"Vou resumir aqui e depois explico detalhado, eu tenho diagnóstico de: depressão profunda e ansiedade. Também pra “ajudar” eu tenho autoestima extremamente baixa e total falta de otimismo. #YellowLove pic.twitter.com/j5nV9dfg9C",https://twitter.com/girlmeetsevilxx/status/1035962642127564803
398,417,jutripode,Gostei dos entendidos ali que falam que rotina e sol e academia é solução eu fazia tudo isso e ainda faço  e pasmem tenho diagnóstico de depressão.  Amiga eu adorei seus xingamentos vou usar todos hahahahahaahaha.,https://twitter.com/jutripode/status/1031660133909254149
399,455,arianabuterflly,"Uma garota racista começou a me atacar porque eu elogiei a foto de uma artista que ela não gosta, então pra evitar discussão, eu reclamei com ela na DM e a mesma divulgou a conversa me ridicularizando. Eu tenho diagnóstico de depressão e isso está me fazendo péssima.",https://twitter.com/arianabuterflly/status/1016072670633496576
