,username,tweet,link
2,luu_viegas,"foi diagnóstico de depressão,de ansiedade...até eu entender que meu desconforto vinha da socialização...",https://twitter.com/luu_viegas/status/1141663298401853440
3,cliohistelit,"Quem me segue há mais tempo sabe que eu convivo com diagnóstico de depressão crônica e continua tem alguns pares de anos, nunca fui, ou pelo menos não tenho a memória, de ter sido feliz ao longo da minha vida, inclusive nesses dez anos de laços matrimônios apertados",https://twitter.com/cliohistelit/status/1141495918920945664
4,_ranhana,Acho que depois que a pessoa recebe um diagnóstico de depressão ou de ansiedade generalizada as coisas nunca mais voltam a serem as mesmas.. as cicatrizes são tão fortes e tão feias que conviver com as lembranças delas já trazem uma dor horrível,https://twitter.com/_ranhana/status/1141470793207095299
5,lini_japah,Não queria que fosse verdade o diagnóstico de depressão,https://twitter.com/lini_japah/status/1141125775023886336
6,aclarabispo,"Depois do diagnóstico de depressão, eu nunca sei se tô só cansada/TPM ou se tô prestes a ter uma crise...",https://twitter.com/aclarabispo/status/1140745453035802624
7,annebeaat,"Um diagnostico de depressão, transtorno de ansiedade e panico... passei meses tomando 4 tipos de remedios diferentes (TODOS OS DIAS), e hoje, graças a Deus, não tomo quase nada .. só um p crise e nada mais ,(e quando precisa).. Deus é incrível demais",https://twitter.com/annebeaat/status/1140699492049674240
8,ungaromp,"Quando tu vê que é depressiva desde criança, desiste mesmo de tentar ser feliz/saudável algum dia e aceita o diagnóstico de depressão maior.",https://twitter.com/ungaromp/status/1140090395084414976
9,saboechat,"não converso com uns faz meses, mas sempre que nos vemos, o amor só cresce.. amo matar a saudade que tenho dos meus amigos. depois do meu diagnóstico de depressão e ansiedade, que percebemos a importância da família e dos amigos",https://twitter.com/saboechat/status/1140069199760494592
10,juliiosouto,Vocês repararam que muitos YouTubers estão com diagnóstico de depressão? Será uma conseqüência ou mera coincidência...?,https://twitter.com/juliiosouto/status/1139602226362703873
11,nihilistblu3,"Voce pode ter duas situações ou vc relaxa e pode te fazer bem ou você pode ter um bad e crise de ansiedade. Em mim faz com que eu relaxe, eu tenho diagnostico de depressao, toc e síndrome do pânico desde os 12 anos e comecei a utilizar a maconha depois dos 17 anos",https://twitter.com/NIHILISTBLU3/status/1139490908779552768
12,teoriametalica,"Dia dos Namorados foi um diagnóstico de depressão.   Em contrapartida, aconteceram coisas maravilhosas hoje, aprendi a mixar, o professor curtiu meu set e me parabenizou, agora é esperar ser chamado pra tocar no domingo.",https://twitter.com/TeoriaMetalica/status/1138995755723739142
13,renanfaaag,"Pw o diagnóstico de depressão primeiro.passa pelo médico , psicólogo, psiquiatra , doidão esse médico kkk",https://twitter.com/Renanfaaag/status/1138524996458954753
14,wdymgay,e o diagnóstico de depressão veio mais rápido do que eu esperava. valeu vida.,https://twitter.com/wdymgay/status/1138456800234221573
15,lari_aniceto,Acabei de ver um Tweet que se referia a um diagnóstico de depressão seguido pela frase “fique livre da depressão em 3 minutos”   Vai tomar no cu,https://twitter.com/Lari_Aniceto/status/1137802664216018944
16,lean_mcmxcviii,"Veio pelo amor de DEUS, voce nao pode pegar as definicoes de um manual pra diagnostico jogar numa rede social e sair espalhando como de o diagnostico de depressao fosse assim, pelo amor de DEUS cara, um diagnostico é um CONJUNTO de avaliações n uma prova de assinalar",https://twitter.com/Lean_MCMXCVIII/status/1137688004598935552
17,leonfllima,o melhor presente deus me deu: diagnóstico de depressão e tratamento com medicamento disgurpe :(,https://twitter.com/LeonflLima/status/1137398252503015424
18,cacazinnha,Mas olha ta poderoso tuu!!! Vou pesir tua interceçao pra ser internada. Ainda mais agora com diagnostico de depressao,https://twitter.com/cacazinnha/status/1137170239312019457
19,gilmeloo,"Longe de mim julgar a doença das pessoas, mas acho que algumas pessoas se dão um auto diagnóstico de depressão, quando na verdade nunca buscou ajuda médica pra entender o seu real problema. Nem sabem o tipo de sentimento que tem. Acho que a internet atrapalha um pouco nesse caso",https://twitter.com/gilmeloo/status/1137086575324684288
20,heyycarolinee,kkkkkkkkk ainda bem que ele deu diagnóstico de depressão tb economiza do psic,https://twitter.com/heyycarolinee/status/1136805057771520000
21,denvmag,"Vc descobriu recente? Eu passei dos 17 aos 34 c diagnóstico de depressão p só 3 anos atrás descobrir que era bipolar. No início dá um choque mesmo, eu me senti exatamente como vc ta falando. Mas depois fica bem mais facil de lidar pq tudo começa a fazer mais sentido",https://twitter.com/denvmag/status/1136636008794087425
22,mariasales___,"tava conversando c minha amiga de infância q teve o diagnóstico de depressão e ansiedade ano passado, e porra, é a pior coisa do mundo vc não poder fazer ""nada"" ou n saber como ajudar a pessoa",https://twitter.com/mariasales___/status/1136461110150881280
23,luscasergio,"Bicho do céu, se eu passo 5 anos estudando um caralhau de filósofos psicanálise freudiana anatomia do cérebro etc etc etc, pra Lacrastes de tt dá diagnóstico de depressão e ansiedade eu ia virar o zezeu, olha",https://twitter.com/luscasergio/status/1135915229659877378
24,gabrielnaquinta,"Além do mais, tô vendo um bocado de gente doente ou adoecendo outras pessoas nesse ambiente muitas vezes doloroso e carniceiro. A moda agora é ""influencer"" revelar diagnóstico de depressão. Não é a toa. As epidemias do séculos XXI vão ser por contágio virtual. Pode escrever",https://twitter.com/gabrielnaquinta/status/1135391185319714820
25,dudahcgv,eu sou inútil  insuficiente  n me acho bonita  dps de ver q xs amigxs verdadeirxs  foram embora  vc se sente sozinhx  e com diagnóstico de depressão  pq é isso q eu tenho,https://twitter.com/Dudahcgv/status/1135366934013386752
26,sofridomateus,Os maiores desrespeitos que eu cometi comigo mesmo foi  1- negligenciar o meu emocional e ter que ver um diagnóstico de depressão 2- não ter tido coragem para admitir meu rancor com algumas pessoas e ter sido submisso para que os outros se sentissem melhor,https://twitter.com/sofridomateus/status/1135362014094725120
27,fcastrinha,não ter um diagnóstico de depressão me mata tds os dias,https://twitter.com/fcastrinha/status/1135022392860790785
28,mari_bittencour,"Acho que o psiquiatra é o profissional indicado pra fechar um diagnóstico de depressão, entendendo que o diagnóstico de depressão não é uma receita de bolo para se feito a olho nu, disfunções hormonais causam os sintomas parecidos com o de depressão....",https://twitter.com/mari_bittencour/status/1134853795043786752
29,belaraujjo,"Pq? Vc acha que o psiquiatra que estudou 6 anos de medicina + 2 anos de residência não tem capacidade o suficiente pra fechar o diagnóstico de depressão em menos de 40 min, para poder iniciar o tratamento de forma precoce e justamente melhorar a qualidade de vida do pcte dele?",https://twitter.com/belaraujjo/status/1134852451394379776
30,gemakoharu,"eu tenho diagnóstico de depressão mas segundo o ursinho Pooh eu tenho TDA msm psiquiatria sabe de nada msm, obg internet",https://twitter.com/gemakoharu/status/1134822884663316481
31,marianacoura1,Psiquiatra nao da diagnóstico de depressão sem o laudo do psicólogo ... o psicologo pode te encaminhar para o psiquiatra com esse diagnóstico para assim o psiquiatra validar com base no seu caso... ou pelo menos e assim que deveria ser né kkk,https://twitter.com/MarianaCoura1/status/1134666620243185676
32,belaraujjo,"O diagnóstico de depressão é puramente clínico, ou seja, não necessita de exames complementares para a sua confirmação. Se vc se enquadra nos parâmetros diagnósticos da doença, vc tem depressão. E se for um quadro bem clássico, não precisa nem de 40 min pra fechar o diagnóstico.",https://twitter.com/belaraujjo/status/1134650199450750978
33,gabrilellaranja,"Billie ellish é a prova de que não precisa ter melodia ou voz boa pra fazer sucesso, só falar de depressão que as adolescentes com a xereca molhada com um auto-diagnostico de depressao cai babando em cima de vc...",https://twitter.com/GabrilelLaranja/status/1134629452154068993
34,greedyxbaby,impossível um teste de 30 perguntas pela internet comprovar o que você tem demorou quase 5 meses de terapia e 3 profissionais pra eu ter o diagnóstico de depressão e quase que 3 meses e 2 profissionais pro diagnóstico de ansiedade fiz o teste por fazer mesmo,https://twitter.com/greedyxbaby/status/1134413322059767808
35,greedyxbaby,"é o q eu digo, se vocês acham que tem sintomas de algo e esses sintomas persistem procurem um profissional eu fiz o teste por fazer e ainda brinquei falando ""nossa maltidas terapias que só me deram diagnóstico de depressão e ansiedade"" pq o meu teste deu déficit de atenção  https://twitter.com/dazedmonkeys/status/1134220730680455170 …",https://twitter.com/greedyxbaby/status/1134412054541021184
36,rocknroll_b,"realmente, ela não pode piorar uma das suas patologias pra te esclarecer as outras  eu (só) tenho diagnóstico de depressão e ansiedade",https://twitter.com/rocknroll_b/status/1134248851626504198
37,raquellsmartins,Se eu fosse nesse show da Marília é certeza que eu voltaria com diagnóstico de depressão,https://twitter.com/raquellsmartins/status/1133926134121422849
38,bruxadosgato,"desculpa a pergunta indelicada, mas você tem depressão? Ou qualquer outro problema — nunca obtive diagnóstico de depressão, porém só fui no psicólogo no início de 2018 e piorei muito com o passar do ano tenho tda, ta e ansiedade (…  https://curiouscat.me/bruxadosgatos/post/888755950?t=1559167448 …",https://twitter.com/bruxadosgato/status/1133856575632871426
39,mariana_mirelle,Depois que eu tive o diagnóstico de depressão eu recebo mensagens desse tipo pelo menos umas 3x por dia da minha mãe. Eu amo demais essa mulher ❤️  pic.twitter.com/my7kibn8QE,https://twitter.com/mariana_mirelle/status/1133834099284742145
40,mariacl86050773,"Diagnóstico de depressão: OK Diagnóstico de ansiedade: OK Estou tendo ataques de pânico. Estou com medo e não tenho ninguém ao meu lado. Meu Deus, por favor, me salve, eu não estou mais aguentando..",https://twitter.com/MariaCl86050773/status/1133603015464771584
41,riienes,"O diagnóstico de depressão só um profissional formado pode dar, e isso dói muito, só que infelizmente as pessoas acreditam que focar em algo vai fazê-las ""curar"", essa mulher msm eu tenho pena pq esse cara ficou off e isso já afetou ela",https://twitter.com/riienes/status/1133549988737429504
42,mariaclaradazzi,"Caralho mano recebi o diagnóstico de depressão hoje. Sinceramente, não aguento mais nada",https://twitter.com/mariaclaradazzi/status/1133503557070741506
43,marcelaapires,"Amore desculpa a ignorância mas nunca fui em psicológico etc, como que é feio o diagnóstico de depressão? alem da… — Que isso nao é ignorância alguma, bom o meu diagnostico foi feito atraves do psiquiatra, depois disso eu fui enca…  https://curiouscat.me/Marcelapires/post/887825985?t=1559082766 …",https://twitter.com/marcelaapires/status/1133501395007623168
44,o0oo0o0o00oo0o,"embora tenha diagnostico de depressão não consigo dizer que sou depressivo, até porque a única coisa que aceito como transtorno mental é a ansiedade, com pouquíssimos questionamentos",https://twitter.com/o0oo0o0o00oo0o/status/1133392130926362627
45,disappo43773842,pesquisei o diagnóstico de depressão e para nenhuma surpresa eu tenho,https://twitter.com/Disappo43773842/status/1133173411277148160
46,yes_anamia,"Miga me ajuda, eu n tinha conversado sobre ter recebido o diagnóstico de depressao c as minhas amigas e ontem  eu… — Anjo repense suas amizades ... isso é um assunto mt sério,n eh tempestade em copo d’água ! Se ela ignorou o fato…  https://curiouscat.me/yes_anamia/post/884772561?t=1558819691 …",https://twitter.com/yes_anamia/status/1132397976134066180
47,_leeticiagarcia,"Eu vi isso em casa, sempre que pedi um terapeuta minha mãe se negava, dizia que eu não tinha nada. Quando veio diagnostico de depressão e bipolaridade ela disse que a psiquiatra tava errada. Eu até entendo o lado de ter medo dessas dificuldades dos filhos e se negar acreditar.",https://twitter.com/_leeticiagarcia/status/1132394965080977408
48,patricinhajojo,Psiquiatra dando diagnóstico de depressão na primeira avaliação. SENHOR DO UNIVERSO ME AJUDE,https://twitter.com/patricinhajojo/status/1132309480396533760
49,marcelocurioh,"Ei gente, sério, desde quando diagnóstico de depressão se tornou algo ""cool""?!? Vcs são bizarros!!",https://twitter.com/marcelocurioh/status/1132248140235591680
50,wokeuplikenoah,Vou sair com diagnóstico de depressao pós-clínica  pic.twitter.com/zHweWlD3MK,https://twitter.com/wokeuplikenoah/status/1132115036145639426
51,saraestermotta,"Creio que ninguém me entenda quando eu digo que era melhor o diagnóstico de depressão,ansiedade e crises de pânico..  eu preferia estar tomando cada remédio para cada problema mental mas agora eu descubro que isso são só sintomas e o que eu tenho é algo mais difícil",https://twitter.com/saraestermotta/status/1132031936375996423
53,gizaniool,obrigada pi! eu já faço tratamento desde e tomo medicação desde que tive o diagnóstico de depressão! estou tentando me reerguer!! mas obrigada de verdade 💞✨❤️,https://twitter.com/gizaniool/status/1131899858632290304
54,elivieirajr,"Todo mundo é deprimido? E, como uma pessoa que já teve diagnóstico de depressão no passado, eu te garanto: é preferível vencê-la pela resiliência emocional, na verdade deve ser difícil vencê-la de outro jeito. Pura falácia esse paralelo, o culto à vítima é que espalha depressão.",https://twitter.com/EliVieiraJr/status/1131711945181192195
56,tiponunes,Dando block em toda galera que faz tweet dando diagnóstico de depressão/ansiedade,https://twitter.com/TipoNunes/status/1131240476798070784
57,thicn_,acho que a depressão tem que ser vista mais a séria de TODOS os angulos. de tratar como um problema realmente sério mas também de combater a levianidade desse BOOOM de diagnostico de depressão muitas vezes errados,https://twitter.com/thicn_/status/1131217786057961472
58,gssecta,"Vivi quatro anos sob diagnóstico de depressão e depois como transtorno bipolar,sai de ambas situações Mas como sempre falo,situações como essa se vence com um excelente profissional médico e uma medicação acertada,sem que haja um acerto médico,a pessoa tende a se afundar",https://twitter.com/gssecta/status/1130343057214386176
59,atainamack,"""E fulano que gosta de fazer drama"" ou como dizem por aqui tá querendo ""biscoito"", mas o fato é que se todo mundo que visse alguém pelo menos com dor de cotovelo na vida é fosse solidário, menos pessoas tinham dificuldades em obter um diagnóstico de depressão. Humizar é preciso!",https://twitter.com/AtainaMack/status/1130267812755333122
60,amanda_moraesd,2013- disney  2015- divórcio dos meus pais (amém) + conheci a neném (minha cachorra) 2016- finalmente saí do doroteia e fui pro csa 2017- diagnóstico de depressão e síndrome do pânico + ir pro sagrado + lucy (minho outra cachorra) + bryan nasceu (comentários)  https://twitter.com/amanda_moraesd/status/1129585681574113286 …,https://twitter.com/amanda_moraesd/status/1129846592637415426
61,parrkjimn,o taehyung nao pode falar um a que todo mundo decide tirar o diploma de psicologia do cu e analisar ele e fazer diagnostico de depressão etc pelo amor de deus deixem o garoto em paz,https://twitter.com/parrkjimn/status/1129594499431370754
62,whoexpulsos,"eu fui a primeira da minha família a ter um diagnostico de depressão depois foi a minha mãe e agora minha tia,isso é genético?",https://twitter.com/whoexpulsos/status/1129578389659115520
63,taechimmybts,"E agora pra você que está passando por isso, tenha recebido o diagnóstico de depressão ou não, você que está tão confusa com esses inúmeros sentimentos que não consegue nominar, não sabe o que é. Vejo muitos tt's pedindo fotos dos meninos. +",https://twitter.com/taechimmybts/status/1129536266813489152
64,chrishoffmorgan,O que fazer depois de um diagnóstico de depressão?? Tirei a noite pra beber e cantar no Tribunal,https://twitter.com/ChrisHoffMorgan/status/1129213178863411201
65,drugspurpose,entrei no consultório do médico achando q fosse me diagnósticar c tdah e sai c diagnóstico de depressão,https://twitter.com/drugspurpose/status/1129064237333143556
66,gomezcarolinee,"Meu amor eu tenho 8 anos de Federal (graduação/mestrado) e um diagnóstico de depressão devido a pressão psicológica que sofremos para nós manter na vida acadêmica, precisamos de investimentos e apoio psicológico sim!!! ❤️ #TsunamiDaEducação",https://twitter.com/gomezcarolinee/status/1128862569362579456
67,tayanegusmao,"Conheci um garoto de uns 9 anos, gente, o menino tem ""tudo"", mas ñ tem nada, mal olhei pra ele e já sei q tem um diagnostico de depressão, vive pelos cantos, chorando, com sono e reclamando que está cansado, e eu só vi pessoas brigando com ele, reclamando...",https://twitter.com/tayanegusmao/status/1128840762030927872
68,abcdablio,Meu primeiro diagnóstico de depressão foi aos 15 anos. Fui buscar ajuda só aos 30. Hj eu olho pra trás e tem épocas nesse período que é como se eu nem existisse. :/,https://twitter.com/abcdablio/status/1128697412455890951
69,flora_bangtan,"Vc por incrível que pareça foi o melhor dia da minha vida, desse que recebir a diagnóstico de depressão 😔✊🏾",https://twitter.com/Flora_bangtan/status/1128408568728883200
70,ohhhnaninani,"o que marcou eu em cada ano  2012: pseudo casei 2013: primeiro emprego 2014: a REAL chegada da vida adulta morando em são paulo 2015: ingresso na faculdade 2016: o vale 2017: meu deus, nada? que ano podi 2018: o término do meu casamento, meu diagnóstico de depressao, amanda+  https://twitter.com/Livixxxxxxx/status/1128057898142031873 …",https://twitter.com/ohhhnaninani/status/1128360136798613505
71,_usicforever,"To no meio de um brwakdown mas continuo produzindo meu artigo aqui  É nessas horas que o meu diagnóstico de depressão funcional faz todo o sentido MALDNAODKAKDKS, rindo de desespero mesmo  pic.twitter.com/Lxr6lRZnIM",https://twitter.com/_usicforever/status/1128156281863327744
72,madhattersx,"2012: morte da minha avó 2013: rebelde 2014: amizades virtuais, Demi Lovato 2015: amizades virtuais, fandoms 2016: igreja, teatro, amigos reais, terapia 2017: bullying, diagnóstico de depressão 2018: escola nova, ansiedade, depressão 3x pior, sem terapia 2019: é uma incógnita  https://twitter.com/royalwrecker/status/1128149977170100224 …",https://twitter.com/madhattersx/status/1128155313553772544
73,smilesjjgk,o que marcou vcs em cada ano? 2016:mudei de escola fiz amigos 2017:perdi minha vó e conheci o bts 2018:saí da escola diagnóstico de depressão TAG e TP comecei a tomar remédios perdi meus avôs em 2 meses 2019: recomeçando sem amigos e enfrentando meus medos e problemas,https://twitter.com/smilesjjgk/status/1128106638337028101
74,johnnypoesy,"depois do diagnóstico de depressão e o encaminhamento pro psiquiatra é como se eu não tivesse feito nada. eu não me sinto aliviada por ter procurado ajuda, eu me sinto culpada, cada dia mais.",https://twitter.com/johnnypoesy/status/1128020015746297859
76,renatobpontes,"Nunca li mas vou procurar. Descobri relativamente há pouco tempo, embora tenha diagnóstico de depressão há mais de 10 anos. Primeira vez que falo disso publicamente. :S",https://twitter.com/renatobpontes/status/1127034755386695680
77,manuwithlasers,"e tipo assim, tem vários tweets dele explicando mais ou menos a história dele.. falando do pai alcoolatra que abusava a mãe, diagnostico de depressão, psicologo/psiquiatra colocando a ""culpa"" na maconha, etc",https://twitter.com/manuwithlasers/status/1126720756526661632
78,she_islivia,Rafa dando meu diagnóstico de depressão foi o auge de hoje,https://twitter.com/she_islivia/status/1126627939943178240
79,dhiegolucio,"Uma coisa que tenho visto (que ele fala no video) é como um diagnostico de depressão pode te render uma demissão, e por causa disso já tem uns 2 conhecidos que escondem a depressão deles por esse motivo.",https://twitter.com/dhiegolucio/status/1126306172003332097
80,juanengel_,Cachoeira é o diagnóstico de depressão do estado,https://twitter.com/JuanEngel_/status/1125933044093923329
81,dudahillebrand,"Diagnóstico de depressão, era o que eu não queria",https://twitter.com/DudaHillebrand/status/1125481715730874368
82,wiedenhoftduda,Como estar preparada pra receber um diagnóstico de depressão: não tem como,https://twitter.com/wiedenhoftduda/status/1124867950886948867
83,no_hop0,Engraçado apesar dele ter esse diagnóstico de depressão ninguém pensa nas palavras o que é engraçado.,https://twitter.com/no_hop0/status/1124757149693960192
84,no_hop0,Não sei quando saiu o diagnóstico de depressão todos ficaram triste e apoiam mesmo assim e o problema está no pequeno ou porque a afirmação foi correta?,https://twitter.com/no_hop0/status/1124734751284375552
85,ritaavobaiao,Daniel Caramujo sobre a solidão como inimigo público número um. Fala como o diagnóstico de depressão aumentou 4-5x desde os 1950s (não dúvido mas antes as pessoas também não eram diagnosticadas...)  #tedxulisboa #filadafrente,https://twitter.com/ritaavobaiao/status/1124713523274244097
